Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"VADDPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F.W1 58 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed double-precision floating-point values from ymm3/m256/m64bcst to ymm2 and store result in ymm1 with writemask k1."
"VADDPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{er}","EVEX.NDS.512.66.0F.W1 58 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed double-precision floating-point values from zmm3/m512/m64bcst to zmm2 and store result in zmm1 with writemask k1."
"ADDPS xmm1, xmm2/m128","NP 0F 58 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Add packed single-precision floating-point values from xmm2/m128 to xmm1 and store result in xmm1."
"VADDPS xmm1,xmm2, xmm3/m128","VEX.NDS.128.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add packed single-precision floating-point values from xmm3/m128 to xmm2 and store result in xmm1."
"VADDPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add packed single-precision floating-point values from ymm3/m256 to ymm2 and store result in ymm1."
"VADDPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 58 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed single-precision floating-point values from xmm3/m128/m32bcst to xmm2 and store result in xmm1 with writemask k1."
"VADDPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 58 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed single-precision floating-point values from ymm3/m256/m32bcst to ymm2 and store result in ymm1 with writemask k1."
"VADDPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst {er}","EVEX.NDS.512.0F.W0 58 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed single-precision floating-point values from zmm3/m512/m32bcst to zmm2 and store result in zmm1 with writemask k1."
"ADDSD xmm1, xmm2/m64","F2 0F 58 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Add the low double-precision floating-point value from xmm2/mem to xmm1 and store the result in xmm1."
"VADDSD xmm1, xmm2, xmm3/m64","VEX.NDS.LIG.F2.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add the low double-precision floating-point value from xmm3/mem to xmm2 and store the result in xmm1."
"VADDSD xmm1 {k1}{z}, xmm2, xmm3/m64{er}","EVEX.NDS.LIG.F2.0F.W1 58 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Tuple1 Scalar","Add the low double-precision floating-point value from xmm3/m64 to xmm2 and store the result in xmm1 with writemask k1."
"ADDSS xmm1, xmm2/m32","F3 0F 58 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Add the low single-precision floating-point value from xmm2/mem to xmm1 and store the result in xmm1."
"VADDSS xmm1,xmm2, xmm3/m32","VEX.NDS.LIG.F3.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add the low single-precision floating-point value from xmm3/mem to xmm2 and store the result in xmm1."
"VADDSS xmm1{k1}{z}, xmm2, xmm3/m32{er}","EVEX.NDS.LIG.F3.0F.W0 58 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Tuple1 Scalar","Add the low single-precision floating-point value from xmm3/m32 to xmm2 and store the result in xmm1with writemask k1."
"ADDSUBPD xmm1, xmm2/m128","66 0F D0 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add/subtract double-precision floating-point values from xmm2/m128 to xmm1."
"VADDSUBPD xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG D0 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Add/subtract packed double-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1."
"VADDSUBPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG D0 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Add / subtract packed double-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1."
"ADDSUBPS xmm1, xmm2/m128","F2 0F D0 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add/subtract single-precision floating-point values from xmm2/m128 to xmm1."
"VADDSUBPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.F2.0F.WIG D0 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Add/subtract single-precision floating-point values from xmm3/mem to xmm2 and stores result in xmm1."
"VADDSUBPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.F2.0F.WIG D0 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Add / subtract single-precision floating-point values from ymm3/mem to ymm2 and stores result in ymm1."
"ADOX r32, r/m32","F3 0F 38 F6 /r","Valid","Valid","Invalid","ADX","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Unsigned addition of r32 with OF, r/m32 to r32, writes OF."
"ADOX r64, r/m64","F3 REX.w 0F 38 F6 /r","Valid","Invalid","Invalid","ADX","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Unsigned addition of r64 with OF, r/m64 to r64, writes OF."
"AESDEC xmm1, xmm2/m128","66 0F 38 DE /r","Valid","Valid","Invalid","AES","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128."
"VAESDEC xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.WIG DE /r","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from xmm3/m128; store the result in xmm1."
"AESDECLAST xmm1, xmm2/m128","66 0F 38 DF /r","Valid","Valid","Invalid","AES","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128."
"VAESDECLAST xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.WIG DF /r","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from xmm3/m128; store the result in xmm1."
"AESENC xmm1, xmm2/m128","66 0F 38 DC /r","Valid","Valid","Invalid","AES","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Perform one round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128."
"VAESENC xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.WIG DC /r","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Perform one round of an AES encryption flow, operating on a 128-bit data (state) from xmm2 with a 128-bit round key from the xmm3/m128; store the result in xmm1."
"AESENCLAST xmm1, xmm2/m128","66 0F 38 DD /r","Valid","Valid","Invalid","AES","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Perform the last round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128."
"VAESENCLAST xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.WIG DD /r","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Perform the last round of an AES encryption flow, operating on a 128-bit data (state) from xmm2 with a 128 bit round key from xmm3/m128; store the result in xmm1."
"AESIMC xmm1, xmm2/m128","66 0F 38 DB /r","Valid","Valid","Invalid","AES","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1."
"VAESIMC xmm1, xmm2/m128","VEX.128.66.0F38.WIG DB /r","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1."
"AESKEYGENASSIST xmm1, xmm2/m128, imm8","66 0F 3A DF /r ib","Valid","Valid","Invalid","AES","ModRM:reg (w)","ModRM:r/m (r)","imm8","NA","","Assist in AES round key generation using an 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1."
"VAESKEYGENASSIST xmm1, xmm2/m128, imm8","VEX.128.66.0F3A.WIG DF /r ib","Valid","Valid","Invalid","AES AVX","ModRM:reg (w)","ModRM:r/m (r)","imm8","NA","","Assist in AES round key generation using 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1."
"AND AL, imm8","24 ib","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","AL AND imm8."
"AND AX, imm16","25 iw","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","AX AND imm16."
"AND EAX, imm32","25 id","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","EAX AND imm32."
"AND RAX, imm32","REX.W + 25 id","Valid","Invalid","Invalid","","AL/AX/EAX/RAX","imm8","NA","NA","","RAX AND imm32 sign-extended to 64-bits."
"AND r/m8, imm8","80 /4 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m8 AND imm8."
"AND r/m8 , imm8","REX + 80 /4 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m8 AND imm8."
"AND r/m16, imm16","81 /4 iw","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m16 AND imm16."
"AND r/m32, imm32","81 /4 id","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m32 AND imm32."
"AND r/m64, imm32","REX.W + 81 /4 id","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m64 AND imm32 sign extended to 64-bits."
"AND r/m16, imm8","83 /4 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m16 AND imm8 (sign-extended)."
"AND r/m32, imm8","83 /4 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m32 AND imm8 (sign-extended)."
"AND r/m64, imm8","REX.W + 83 /4 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","r/m64 AND imm8 (sign-extended)."
"AND r/m8, r8","20 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","r/m8 AND r8."
"AND r/m8 , r8","REX + 20 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","r/m64 AND r8 (sign-extended)."
"AND r/m16, r16","21 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","r/m16 AND r16."
"AND r/m32, r32","21 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","r/m32 AND r32."
"AND r/m64, r64","REX.W + 21 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","r/m64 AND r32."
"AND r8, r/m8","22 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","r8 AND r/m8."
"AND r8 , r/m8","REX + 22 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","r/m64 AND r8 (sign-extended)."
"AND r16, r/m16","23 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","r16 AND r/m16."
"AND r32, r/m32","23 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","r32 AND r/m32."
"AND r64, r/m64","REX.W + 23 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","r64 AND r/m64."
"ANDN r32a, r32b, r/m32","VEX.NDS.LZ.0F38.W0 F2 /r","Valid","Valid","Invalid","BMI1","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Bitwise AND of inverted r32b with r/m32, store result in r32a."
"ANDN r64a, r64b, r/m64","VEX.NDS.LZ.0F38.W1 F2 /r","Valid","Invalid","Invalid","BMI1","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","","Bitwise AND of inverted r64b with r/m64, store result in r64a."
"ANDNPD xmm1, xmm2/m128","66 0F 55 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Return the bitwise logical AND NOT of packed double-precision floating-point values in xmm1 and xmm2/mem."
"VANDNPD xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F 55 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND NOT of packed double-precision floating-point values in xmm2 and xmm3/mem."
"VANDNPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F 55/r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND NOT of packed double-precision floating-point values in ymm2 and ymm3/mem."
"VANDNPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F.W1 55 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND NOT of packed double-precision floating-point values in xmm2 and xmm3/m128/m64bcst subject to writemask k1."
"VANDNPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F.W1 55 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND NOT of packed double-precision floating-point values in ymm2 and ymm3/m256/m64bcst subject to writemask k1."
"VANDNPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F.W1 55 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND NOT of packed double-precision floating-point values in zmm2 and zmm3/m512/m64bcst subject to writemask k1."
"ANDNPS xmm1, xmm2/m128","NP 0F 55 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Return the bitwise logical AND NOT of packed single-precision floating-point values in xmm1 and xmm2/mem."
"VANDNPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.0F 55 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND NOT of packed single-precision floating-point values in xmm2 and xmm3/mem."
"VANDNPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.0F 55 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND NOT of packed single-precision floating-point values in ymm2 and ymm3/mem."
"VANDNPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 55 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in xmm2 and xmm3/m128/m32bcst subject to writemask k1."
"VANDNPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 55 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in ymm2 and ymm3/m256/m32bcst subject to writemask k1."
"VANDNPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.0F.W0 55 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in zmm2 and zmm3/m512/m32bcst subject to writemask k1."
"ANDPD xmm1, xmm2/m128","66 0F 54 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Return the bitwise logical AND of packed double-precision floating-point values in xmm1 and xmm2/mem."
"VANDPD xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F 54 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND of packed double-precision floating-point values in xmm2 and xmm3/mem."
"VANDPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F 54 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND of packed double-precision floating-point values in ymm2 and ymm3/mem."
